Resume,Name,Email,Phone,LinkedIn,GitHub,Experience,Education,Skills,Keywords
19553067.pdf,PROJECT ADMINISTRATOR ENGINEERING,,,,,10 years ,,"Excel, Express","project, report, team, state, player, statement, ledger, jan, ï¼​, city, billing, cash, administrator, revenue, budget, account, reconciliation, company, contract, bank, customer, year, accounting, process, end, cost, reporting, expert, proficiency, general, progress, employee, consultant, controller, office, meeting, insurance, engineering, skill, experience"
19612167.pdf,ENGINEERING SUPERVISOR,,,,,9 years of experience,,Excel,"engineering, experience, department, training, customer, skill, supervisor, team, city, state, engineer, communication, electrical, equipment, project, management, ability, service, company, tool, year, quality, work, program, professional, facilities, director, duty, problem, task, high, school, executive, summary, designing, product, troubleshooting, electronic, system, plumbing"
20566550.pdf,ENGINEERING INTERN,,,,,22 years ,"Bachelor of Engineering, Bachelor","C, Data Science, Oracle, Python, SQL, Statistics","customer, team, design, engineering, solidworks, australia, ï¼​, city, company, year, state, skill, student, ansys, school, product, test, equipment, sale, entry, challenge, rover, mathematics, physics, chemistry, science, distinction, sql, achievements, engineer, field, solution, record, load, article, support, system, service, class, satellite"
20882041.pdf,ENGINEERING MANAGER,,,,,30 years of ,Bachelor,Excel,"process, project, company, improvement, effort, engineer, maintenance, reliability, city, state, converting, mill, work, engineering, management, equipment, november, system, plan, january, manager, mechanical, capital, line, team, program, rcm, spc, installation, manufacturing, experience, design, paper, operation, facility, plant, responsibility, supervision, laser, quality"
20981299.pdf,ENGINEERING ASSISTANT,,,,,,"Bachelor of Engineering, Bachelor, Master",C,"engineering, quality, product, process, manufacturing, cost, analysis, development, assembly, vehicle, system, design, line, project, production, requirement, experience, model, toyota, catia, fmea, apqp, reliability, ï¼​, city, state, safety, performed, pfmea, plan, benchmarking, dfmea, report, university, customer, package, driver, sedan, packaging, station"
21038022.pdf,Core Qualifications,,,,,30 years of ,,"Algorithms, C, C++, CSS, HTML, Java, SQL, Software Engineering","engineering, management, software, customer, microsoft, java, inventory, gpa, process, skill, maintenance, project, saving, ï¼​, city, state, manager, company, experience, manufacturing, user, control, plant, supply, responsibility, purchasing, goal, level, work, sdi, cost, leadership, sigma, powersteering, c++, web, design, improvement, chain, service"
21298336.pdf,ENGINEERING INTERN,,,,,,Bachelor,Excel,"engineering, intern, city, state, civil, concrete, company, construction, design, soil, spreadsheets, field, summary, motivated, entry, level, engineer, knowledge, quality, assurance, mindset, obstacle, detail, work, ethic, performance, task, duty, relevant, courses, materials, management, reinforced, structural, steel, surveyâ, leadership, foundation, environmental, transportation"
21568833.pdf,and Bloomberg.,,,,,,,Statistics,"accounting, tax, report, bank, preparation, business, company, return, sale, closing, reconciliation, security, consultant, banking, office, york, city, state, ledger, entry, month, end, form, assets, policy, law, procedure, compliance, finance, economics, quickbooks, system, new, client, statement, senior, payment, analysis, management, government"
21629057.pdf,Operational analysis,,,,,5 years ,,,"engineering, test, equipment, field, product, service, customer, quality, company, system, engineer, department, wiring, work, state, component, project, technician, production, time, process, circuitry, calibration, broadcaster, control, operation, design, jun, skill, result, understanding, industry, manufacturing, detail, measurement, problem, city, end, user, need"
21807224.pdf,ENGINEERING MANAGER,,,,,20 years experience,,AWS,"process, value, stream, engineering, improvement, company, ï¼​, city, state, lean, manufacturing, product, quality, certification, sigma, instruction, development, safety, manager, professional, experience, initiative, lead, group, engineer, project, estimating, control, 01/2009, continuous, material, event, valve, customer, database, work, 01/2003, map, led, cost"
